checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-17T17:06:05+00:00,Wako,20g can,no,"¥2,400",€13.40,,,1161020C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1161020c1,
2026-09-17T17:06:05+00:00,Wako,40g can,no,"¥4,520",€25.23,,,1161040C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1161020c1,
2026-09-17T17:06:05+00:00,Wako,100g can,no,"¥10,650",€59.45,,,1161100C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1161020c1,
2026-09-17T17:06:05+00:00,Wako,100g bag,no,"¥10,340",€57.72,,,1161100C6,https://www.marukyu-koyamaen.co.jp/english/shop/products/1161020c1,
2026-09-17T17:06:05+00:00,Wako,200g can,no,"¥20,700",€115.55,,,1161200C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1161020c1,
2026-09-17T17:06:05+00:00,Yugen,20g can,no,"¥2,000",€11.16,,,1171020C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1171020c1,
2026-09-17T17:06:05+00:00,Yugen,40g can,no,"¥3,720",€20.77,,,1171040C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1171020c1,
2026-09-17T17:06:05+00:00,Yugen,100g can,no,"¥8,650",€48.29,,,1171100C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1171020c1,
2026-09-17T17:06:05+00:00,Yugen,100g bag,no,"¥8,340",€46.56,,,1171100C6,https://www.marukyu-koyamaen.co.jp/english/shop/products/1171020c1,
2026-09-17T17:06:05+00:00,Yugen,200g can,no,"¥16,700",€93.22,,,1171200C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1171020c1,
2026-09-17T17:06:05+00:00,Isuzu,40g can,no,"¥2,520",€14.07,,,1191040C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1191040c1,
2026-09-17T17:06:05+00:00,Isuzu,100g can,no,"¥5,650",€31.54,,,1191100C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1191040c1,
2026-09-17T17:06:05+00:00,Isuzu,100g bag,no,"¥5,340",€29.81,,,1F43100C6,https://www.marukyu-koyamaen.co.jp/english/shop/products/1191040c1,
2026-09-17T17:06:05+00:00,Isuzu,200g can,no,"¥10,700",€59.73,,,1191200C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/1191040c1,
2026-09-17T17:06:05+00:00,Aoarashi,40g can,no,"¥2,120",€11.83,,,11A1040C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/11a1040c1,
2026-09-17T17:06:05+00:00,Aoarashi,100g can,no,"¥4,650",€25.96,,,11A1100C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/11a1040c1,
2026-09-17T17:06:05+00:00,Aoarashi,100g bag,no,"¥4,340",€24.23,,,1F23100C6,https://www.marukyu-koyamaen.co.jp/english/shop/products/11a1040c1,
2026-09-17T17:06:05+00:00,Aoarashi,200g can,no,"¥8,700",€48.57,,,1F23200C1,https://www.marukyu-koyamaen.co.jp/english/shop/products/11a1040c1,
